Wavenumber,Absorbance
3997.30411,0.00015
3995.24364,0.00013
3993.18317,-0.00005
3991.12271,-0.00012
3989.06224,-0.00008
3987.00178,-0.00005
3984.94131,-0.00008
3982.88084,-0.00019
3980.82038,-0.00000
3978.75991,0.00035
3976.69945,0.00052
3974.63898,0.00062
3972.57851,0.00054
3970.51805,0.00019
3968.45758,-0.00008
3966.39711,-0.00001
3964.33665,0.00032
3962.27618,0.00049
3960.21572,0.00033
3958.15525,0.00012
3956.09478,0.00007
3954.03432,0.00023
3951.97385,0.00033
3949.91339,0.00016
3947.85292,0.00000
3945.79245,0.00014
3943.73199,0.00043
3941.67152,0.00052
3939.61106,0.00058
3937.55059,0.00068
3935.49012,0.00069
3933.42966,0.00069
3931.36919,0.00061
3929.30873,0.00063
3927.24826,0.00079
3925.18779,0.00072
3923.12733,0.00052
3921.06686,0.00070
3919.00640,0.00088
3916.94593,0.00063
3914.88546,0.00049
3912.82500,0.00067
3910.76453,0.00075
3908.70407,0.00084
3906.64360,0.00112
3904.58313,0.00108
3902.52267,0.00053
3900.46220,0.00005
3898.40174,0.00000
3896.34127,0.00036
3894.28080,0.00070
3892.22034,0.00051
3890.15987,0.00047
3888.09941,0.00125
3886.03894,0.00162
3883.97847,0.00110
3881.91801,0.00067
3879.85754,0.00018
3877.79708,0.00020
3875.73661,0.00077
3873.67614,0.00125
3871.61568,0.00161
3869.55521,0.00147
3867.49475,0.00143
3865.43428,0.00172
3863.37381,0.00142
3861.31335,0.00085
3859.25288,0.00086
3857.19242,0.00142
3855.13195,0.00166
3853.07148,0.00077
3851.01102,0.00033
3848.95055,0.00061
3846.89008,0.00071
3844.82962,0.00077
3842.76915,0.00090
3840.70869,0.00097
3838.64822,0.00078
3836.58775,0.00057
3834.52729,0.00083
3832.46682,0.00103
3830.40636,0.00075
3828.34589,0.00064
3826.28542,0.00109
3824.22496,0.00173
3822.16449,0.00179
3820.10403,0.00092
3818.04356,0.00030
3815.98309,0.00000
3813.92263,0.00010
3811.86216,0.00069
3809.80170,0.00117
3807.74123,0.00102
3805.68076,0.00059
3803.62030,0.00083
3801.55983,0.00085
3799.49937,0.00063
3797.43890,0.00091
3795.37843,0.00103
3793.31797,0.00097
3791.25750,0.00092
3789.19704,0.00090
3787.13657,0.00086
3785.07610,0.00062
3783.01564,0.00039
3780.95517,0.00043
3778.89471,0.00052
