Time,Temperature,Weight,Balance_Flow,Sample_Flow
0.02500000,20.12025,7.891631,39.98718,59.99124
0.04166667,20.11946,7.891780,40.00330,60.00662
0.05833332,20.11741,7.891074,40.00743,59.99540
0.07500000,20.12101,7.891257,39.99928,59.99522
0.09166668,20.12092,7.891000,39.99112,60.00771
0.1083334,20.12159,7.891040,40.00132,59.99299
0.1250000,20.12360,7.890436,40.00300,59.99374
0.1416666,20.12766,7.890225,40.00310,60.00432
0.1583333,20.13229,7.889985,39.99275,59.99368
0.1750000,20.13796,7.890182,40.01000,60.00300
0.1916666,20.14609,7.889702,39.99002,60.00060
0.2083333,20.15475,7.889190,39.99356,59.99349
0.2250000,20.16433,7.888982,40.00903,60.01106
0.2416666,20.17752,7.888801,40.00550,60.00464
0.2583333,20.18952,7.888872,39.98946,59.99856
0.2750000,20.20434,7.888370,40.00835,59.99642
0.2916666,20.21831,7.888284,40.00117,59.99802
0.3083334,20.23311,7.887605,39.99197,60.00254
0.3250000,20.25073,7.887778,39.99366,59.99350
0.3416667,20.26958,7.887276,40.00844,60.00816
0.3583333,20.28634,7.887122,40.00731,59.99361
0.3750000,20.30519,7.886732,39.98602,60.00082
0.3916667,20.32641,7.886929,40.00528,60.01256
0.4083334,20.35012,7.886642,40.00933,59.99298
0.4250000,20.37128,7.886469,39.99493,59.99824
0.4416666,20.39534,7.885912,40.00228,60.01074
0.4583334,20.41952,7.885829,40.00100,59.99190
0.4750000,20.44797,7.885803,40.00280,59.99869
0.4916667,20.47149,7.885461,39.98854,59.99600
0.5083333,20.50011,7.885442,40.00398,60.00557
0.5250000,20.52580,7.884897,40.00228,59.99588
0.5416668,20.55223,7.884668,39.99930,59.99685
0.5583334,20.58131,7.884171,39.99716,60.00691
0.5750000,20.60940,7.883876,40.00241,59.99980
0.5916666,20.63993,7.883370,39.99914,59.99287
0.6083334,20.66939,7.883350,39.99214,59.99964
0.6250000,20.69996,7.882962,40.00382,60.01001
0.6416666,20.73200,7.882624,40.00970,60.00043
0.6583334,20.76149,7.882230,39.99500,60.00434
0.6750000,20.79459,7.882085,39.99472,60.00546
0.6916666,20.82709,7.882016,40.00826,60.00088
0.7083332,20.85866,7.881500,40.00444,60.01120
0.7250000,20.88934,7.881158,39.98808,59.99805
0.7416668,20.92261,7.880740,40.01008,60.00493
0.7583332,20.95793,7.880507,40.00403,59.99915
0.7750000,20.99242,7.880000,39.99160,59.99862
0.7916668,21.02556,7.879778,39.99977,59.99570
0.8083332,21.05594,7.879231,39.99886,59.98941
0.8250000,21.09196,7.879288,40.00478,60.00688
0.8416666,21.12534,7.878868,39.99387,59.99115
0.8583334,21.16097,7.878622,40.00472,59.99316
0.8750000,21.19396,7.878335,40.00180,59.99822
0.8916666,21.22666,7.878235,39.98965,59.99740
0.9083334,21.26360,7.877609,40.01075,60.00035
0.9250000,21.29780,7.877564,39.99382,60.00164
0.9416668,21.33251,7.876978,39.99678,60.00024
0.9583332,21.36804,7.876501,40.00783,60.00049
0.9750000,21.40096,7.876226,40.00053,60.00526
0.9916668,21.43692,7.875831,39.98654,59.99473
1.008333,21.47160,7.875862,40.01034,60.00180
1.025000,21.50616,7.875556,40.00169,59.98732
1.041666,21.54218,7.875231,39.99290,60.00929
1.058333,21.57550,7.874666,39.98933,60.00899
1.075000,21.61082,7.874326,40.02190,59.99945
1.091667,21.64468,7.873993,39.99506,60.00131
1.108334,21.67927,7.873530,39.99500,60.00434
